Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Sh,SoT,SoT%,PK,PKatt,CrdY,CrdR,Fls,Crs,OG,2CrdY,performance_index
Ebenezer Akinsanmiro,ng NGA,MF,Pisa,it Serie A,21.0,2004.0,14,9,934,10.4,11,3,27.3,0,0,2,0,23,9,0,0,-0.4010764608200662
Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,24.0,2002.0,21,19,1652,18.4,33,11,33.3,0,0,2,0,16,26,0,0,0.2885644527808767
Omar Alderete,py PAR,DF,Sunderland,eng Premier League,29.0,1996.0,24,23,2084,23.2,17,6,35.3,0,0,4,0,17,8,0,0,-0.27669536781078785
Carles Aleñá,es ESP,MF,Alavés,es La Liga,28.0,1998.0,26,19,1620,18.0,23,5,21.7,0,0,4,0,28,88,0,0,0.026658874673602635
Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,22.0,2004.0,16,14,1159,12.9,22,9,40.9,0,0,1,0,11,31,0,0,0.07400939477536017
Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,35.0,1990.0,22,21,1883,20.9,20,3,15.0,1,1,2,0,14,13,0,0,-0.3802651780438341
Carlos Álvarez,es ESP,MF,Levante,es La Liga,22.0,2003.0,26,22,1786,19.8,27,10,37.0,0,0,3,0,21,46,0,0,0.2622955965573708
Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,26.0,2000.0,26,21,1742,19.4,48,24,50.0,2,3,2,0,13,83,0,0,0.41212429057528743
Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,28.0,1998.0,21,21,1870,20.8,10,2,20.0,0,0,3,0,22,29,0,0,-0.5445631835573889
Mohamed Amine Sbai,fr FRA,MF,Angers,fr Ligue 1,25.0,2000.0,16,14,1088,12.1,18,8,44.4,0,0,1,0,12,46,0,0,-0.44411550291169716
Michael Amir Murillo,pa PAN,"DF,MF",Marseille,fr Ligue 1,30.0,1996.0,16,11,989,11.0,9,2,22.2,0,0,4,0,22,28,0,0,-0.19875633107052942
Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,29.0,1996.0,20,19,1646,18.3,39,15,38.5,7,7,6,0,17,104,0,0,0.5059710707805884
Mohamed Amoura,dz ALG,"FW,MF",Wolfsburg,de Bundesliga,25.0,2000.0,21,17,1413,15.7,47,15,31.9,1,1,2,0,16,22,0,0,0.3834823290975778
Ethan Ampadu,wls WAL,MF,Leeds United,eng Premier League,25.0,2000.0,25,25,2219,24.7,17,4,23.5,0,0,7,0,32,23,0,0,0.3622403008083383
Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,29.0,1996.0,26,26,2291,25.5,12,3,25.0,0,0,6,0,25,13,0,0,-0.34219369989533
Elliot Anderson,eng ENG,MF,Nottingham Forest,eng Premier League,23.0,2002.0,28,28,2506,27.8,32,7,21.9,1,1,5,0,42,149,0,0,1.0334127348730016
Benjamin André,fr FRA,MF,Lille,fr Ligue 1,35.0,1990.0,19,19,1699,18.9,22,4,18.2,0,0,7,0,28,13,0,0,0.25340395508530456
Robert Andrich,de GER,"DF,MF",Leverkusen,de Bundesliga,31.0,1994.0,22,19,1679,18.7,5,2,40.0,0,0,4,1,24,9,0,1,0.007739294624243553
Samuele Angori,it ITA,MF,Pisa,it Serie A,22.0,2003.0,23,19,1610,17.9,6,1,16.7,0,0,1,0,9,110,0,0,-0.24824230751569026
Ilyas Ansah,de GER,"MF,FW",Union Berlin,de Bundesliga,21.0,2004.0,24,17,1448,16.1,25,8,32.0,0,0,1,0,16,13,0,0,0.02151696901322591
Jaidon Anthony,eng ENG,MF,Burnley,eng Premier League,26.0,1999.0,27,22,1844,20.5,36,15,41.7,0,0,4,0,18,49,0,0,0.5241533165412562
